id,roman_catholic_2011,greek_catholic_2011,calvinist_2011,lutheran_2011,orthodox_christian_2011,other_christian_2011,jewish_2011,atheist_2011,other_2011,percentage_of_religious_population_2011,roman_catholic_2022,greek_catholic_2022,calvinist_2022,lutheran_2022,orthodox_christian_2022,other_christian_2022,jewish_2022,atheist_2022,other_2022,percentage_of_religious_population_2022,change_in_the_number_of_religious_population,educational_attainment_level_2011,educational_attainment_level_2022,bellow_eight_grade_2011,primary_school_2011,secondary_school_2011,high_school_2011,higher_education_2011,bellow_eight_grade_2022,primary_school_2022,secondary_school_2022,high_school_2022,higher_education_2022,change_in_educational_attainment_level
45,3321.0,46.0,9393.0,1638.0,26.0,1161.0,3.0,14138.0,80.0,0.5257,1824.0,60.0,5969.0,1155.0,14.0,1035.0,0.0,10791.0,45.0,0.4835,-0.3552,0.4519,0.5168,5213,10349,8428,7873,3527,3172,7213,8145,8566,3527,0.06490000000000001
46,17627.0,184.0,6031.0,9444.0,149.0,1153.0,28.0,27653.0,223.0,0.5575,11680.0,210.0,4725.0,6529.0,154.0,991.0,15.0,20676.0,157.0,0.5419,-0.2979,0.5336,0.5927,8749,18729,16076,23447,13311,6099,12369,14447,23961,13311,0.05910000000000004
47,4806.0,16.0,3910.0,233.0,11.0,174.0,4.0,8539.0,32.0,0.5183,2881.0,43.0,2425.0,175.0,4.0,176.0,3.0,7273.0,32.0,0.4411,-0.3752,0.4361,0.5078,3655,6697,5683,4903,1974,1999,4716,5617,5377,1974,0.07170000000000004
48,8474.0,244.0,6191.0,625.0,1431.0,1064.0,6.0,11768.0,113.0,0.6066,5818.0,276.0,4602.0,503.0,870.0,831.0,4.0,9904.0,63.0,0.567,-0.2855,0.5241,0.5874,4618,9721,7804,11427,6714,2984,6630,7196,11372,6714,0.06330000000000002
49,15633.0,94.0,2272.0,1280.0,630.0,420.0,12.0,11054.0,55.0,0.6485,8841.0,125.0,1597.0,887.0,529.0,297.0,3.0,7342.0,30.0,0.6264,-0.3965,0.4292,0.4897,5965,12710,8506,8366,2932,3165,9038,7832,8223,2932,0.0605
50,10469.0,77.0,2329.0,6958.0,29.0,813.0,13.0,16699.0,65.0,0.5541,6706.0,114.0,1682.0,4722.0,32.0,652.0,10.0,13595.0,82.0,0.5073,-0.3254,0.4766,0.5339,6226,13705,11682,12016,5471,3893,9725,11355,12366,5471,0.05730000000000002
51,1360.0,72.0,7429.0,76.0,1200.0,807.0,0.0,7146.0,38.0,0.6058,860.0,69.0,4980.0,47.0,805.0,614.0,0.0,6487.0,12.0,0.5324,-0.3274,0.3953,0.4682,3956,7589,4658,4039,1596,2086,5869,4738,4466,1596,0.07290000000000002
52,5463.0,47.0,1191.0,7523.0,13.0,263.0,6.0,7138.0,56.0,0.6711,3684.0,49.0,920.0,5304.0,14.0,212.0,5.0,5039.0,37.0,0.6699,-0.2978,0.4902,0.5538,3349,7629,6176,6696,3720,1985,5178,5688,6725,3720,0.06359999999999993
53,2325.0,29.0,7620.0,93.0,0.0,316.0,0.0,13109.0,29.0,0.4427,1152.0,110.0,4942.0,54.0,4.0,281.0,5.0,10845.0,34.0,0.3777,-0.3678,0.4171,0.4836,4813,8906,6626,5625,2091,2611,6866,6546,6307,2091,0.06649999999999995
54,2510.0,1260.0,7958.0,12.0,0.0,405.0,0.0,1440.0,18.0,0.8941,1622.0,869.0,5825.0,3.0,0.0,253.0,0.0,1416.0,3.0,0.8583,-0.295,0.3397,0.3981,3504,5563,3040,1906,784,2289,4789,2945,2411,784,0.05840000000000001
